frame, x, y, z
7,316.5,104.012,1261
7,353.101,104.904,1265
7,390.119,105.752,1265
7,427.497,106.452,1270
7,465.003,106.991,1275
7,175.161,122.737,1265
7,210.292,123.237,1243
7,245.543,123.992,1252
7,280.894,124.971,1261
7,316.44,126.059,1261
7,352.481,127.18,1256
7,388.83,128.236,1256
7,425.541,129.123,1261
7,462.547,129.787,1275
7,175.411,143.369,1256
7,210.466,144.238,1247
7,245.685,145.507,1247
7,281.097,146.859,1252
7,316.589,148.204,1256
7,352.015,149.533,1252
7,387.545,150.781,1256
7,423.395,151.868,1256
7,459.839,152.656,1275
7,175.702,164.296,1256
7,210.649,165.574,1252
7,245.783,167.329,1243
7,281.226,168.988,1247
7,316.714,170.503,1247
7,351.575,171.966,1252
7,386.417,173.329,1247
7,421.523,174.56,1256
7,457.43,175.459,1265
7,176.008,186.006,1243
7,210.782,187.653,1243
7,245.695,189.663,1252
7,280.986,191.465,1243
7,316.484,193.021,1243
7,350.981,194.495,1247
7,385.591,195.825,1247
7,420.452,197.041,1252
7,455.993,197.995,1252
7,176.325,209.298,1243
7,210.831,210.702,1243
7,245.355,212.584,1243
7,280.202,214.331,1238
7,315.306,215.829,1243
7,350.124,217.128,1238
7,385.148,218.241,1247
7,420.5,219.218,1238
7,456.617,219.932,1252
7,176.619,233.385,1229
7,210.801,234.477,1243
7,244.827,235.984,1225
7,279.072,237.512,1229
7,313.813,238.831,1238
7,349.177,239.838,1243
7,385.075,240.595,1238
7,421.4,241.184,1234
7,458.247,241.607,1243
7,176.868,257.753,1225
7,210.717,258.548,1243
7,244.269,259.626,1221
7,277.961,260.855,1221
7,312.404,261.933,1229
7,348.417,262.58,1234
7,385.295,262.936,1234
7,422.662,263.11,1234
7,460.23,263.237,1243
7,176.993,282,1225
7,210.586,282.528,1247
7,243.855,283.258,1229
7,277.251,284.181,1221
7,311.491,285.008,1221
7,348.109,285.297,1229
7,385.717,285.31,1225
7,423.837,285.157,1225
7,462.009,285.017,1234
8,174.002,102.002,1247
8,209.434,102.211,1256
8,245.005,102.589,1261
8,280.655,103.223,1261
8,316.5,104.012,1261
8,352.957,104.897,1265
8,389.744,105.736,1270
8,426.836,106.437,1270
8,464.013,106.982,1275
8,174.394,122.726,1265
8,209.662,123.245,1247
8,245.07,124.014,1256
8,280.574,124.984,1261
8,316.229,126.034,1261
8,352.221,127.101,1256
8,388.486,128.083,1256
8,425.063,128.9,1261
8,461.844,129.517,1275
8,174.919,143.357,1261
8,210.001,144.25,1252
8,245.213,145.538,1247
8,280.594,146.884,1256
8,316.073,148.176,1256
8,351.561,149.398,1256
8,387.194,150.497,1252
8,423.1,151.427,1256
8,459.45,152.101,1275
